CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1TH,CHLOC1T,CHLOC1CH,CHLOCCT,CHTERM,CHCINT,CHCKZN,CHRMINE,CHRMINH
LH,687,LUFTHANSA,2024-02-27T16:20:00,2024-02-27T17:32:00,D,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,24-33,A,DEPARTED,המריאה
SN,7174,BRUSSELS AIRLINES,2024-02-27T16:20:00,2024-02-27T17:32:00,D,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,24-33,A,DEPARTED,המריאה
UA,9123,UNITED AIRLINES,2024-02-27T16:20:00,2024-02-27T17:32:00,D,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,24-33,A,DEPARTED,המריאה
AA,9266,AMERICAN AIRLINES,2024-02-27T17:50:00,2024-02-27T17:42:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,LANDED,נחתה
AM,7859,AERO MEXICO,2024-02-27T17:50:00,2024-02-27T17:42:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,LANDED,נחתה
AR,7872,AEROLINEAS ARGENTINAS S.A.,2024-02-27T17:50:00,2024-02-27T17:42:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,LANDED,נחתה
IB,2395,IBERIA,2024-02-27T17:50:00,2024-02-27T17:42:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,LANDED,נחתה
LY,396,EL AL ISRAEL AIRLINES,2024-02-27T17:50:00,2024-02-27T17:42:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,LANDED,נחתה
LY,5109,EL AL ISRAEL AIRLINES,2024-02-27T17:30:00,2024-02-27T17:46:00,D,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,3,78-99,D,DEPARTED,המריאה
AA,387,AMERICAN AIRLINES,2024-02-27T17:30:00,2024-02-27T18:04:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,LANDED,נחתה
AR,7874,AEROLINEAS ARGENTINAS S.A.,2024-02-27T17:30:00,2024-02-27T18:04:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,LANDED,נחתה
LY,384,EL AL ISRAEL AIRLINES,2024-02-27T17:30:00,2024-02-27T18:04:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,LANDED,נחתה
SK,3166,SAS,2024-02-27T17:30:00,2024-02-27T18:04:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,LANDED,נחתה
TP,8897,AIR PORTUGAL,2024-02-27T17:30:00,2024-02-27T18:04:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,LANDED,נחתה
LY,571,EL AL ISRAEL AIRLINES,2024-02-27T17:50:00,2024-02-27T18:05:00,D,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3,78-99,D,DEPARTED,המריאה
6H,045,ISRAIR AIRLINES,2024-02-27T18:00:00,2024-02-27T18:16:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,G1-G5,G,DEPARTED,המריאה
IZ,211,ARKIA  ISRAELI  AIRLINES,2024-02-27T18:20:00,2024-02-27T18:28:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,56-60,C,DEPARTED,המריאה
LY,2523,EL AL ISRAEL AIRLINES,2024-02-27T17:45:00,2024-02-27T18:46:00,D,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,78-99,D,DEPARTED,המריאה
IZ,822,ARKIA  ISRAELI  AIRLINES,2024-02-27T18:55:00,2024-02-27T18:53:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,,,LANDED,נחתה
LY,543,EL AL ISRAEL AIRLINES,2024-02-27T19:15:00,2024-02-27T19:15:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,78-99,D,DEPARTED,המריאה
A4,5024,AZIMUTH AIRLINES,2024-02-27T18:55:00,2024-02-27T19:19:00,D,AER,SOCHI,סוצ'י,SOCHI,רוסיה,RUSSIAN FEDERATION,3,62-64,C,DEPARTED,המריאה
IZ,827,ARKIA  ISRAELI  AIRLINES,2024-02-27T19:40:00,2024-02-27T20:00:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,G12-G16,G,DEPARTED,המריאה
LY,5102,EL AL ISRAEL AIRLINES,2024-02-27T20:20:00,2024-02-27T20:05:00,A,WAW,WARSAW,ורשה,WARSAW,פולין,POLAND,3,,,LANDED,נחתה
LY,612,EL AL ISRAEL AIRLINES,2024-02-27T20:55:00,2024-02-27T20:19:00,A,DME,MOSCOW-DOMODEDOVO,מוסקבה,MOSCOW,רוסיה,RUSSIAN FEDERATION,3,,,LANDED,נחתה
S7,4483,SIBERIA AIRLINES,2024-02-27T20:55:00,2024-02-27T20:19:00,A,DME,MOSCOW-DOMODEDOVO,מוסקבה,MOSCOW,רוסיה,RUSSIAN FEDERATION,3,,,LANDED,נחתה
LY,081,EL AL ISRAEL AIRLINES,2024-02-27T20:05:00,2024-02-27T20:20:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,78-99,D,DEPARTED,המריאה
QF,5020,QANTAS AIRWAYS,2024-02-27T20:05:00,2024-02-27T20:20:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,78-99,D,DEPARTED,המריאה
TG,4584,THAI AIRWAYS,2024-02-27T20:05:00,2024-02-27T20:20:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,78-99,D,DEPARTED,המריאה
VN,3298,VIETNAM AIRLINES,2024-02-27T20:05:00,2024-02-27T20:20:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,78-99,D,DEPARTED,המריאה
AA,9259,AMERICAN AIRLINES,2024-02-27T20:00:00,2024-02-27T20:24:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,LANDED,נחתה
AM,7862,AERO MEXICO,2024-02-27T20:00:00,2024-02-27T20:24:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,LANDED,נחתה
LY,324,EL AL ISRAEL AIRLINES,2024-02-27T20:00:00,2024-02-27T20:24:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,LANDED,נחתה
SK,3160,SAS,2024-02-27T20:00:00,2024-02-27T20:24:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,LANDED,נחתה
6H,046,ISRAIR AIRLINES,2024-02-27T20:30:00,2024-02-27T20:26:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,,,LANDED,נחתה
6H,562,ISRAIR AIRLINES,2024-02-27T20:30:00,2024-02-27T20:28:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,LANDED,נחתה
LY,087,EL AL ISRAEL AIRLINES,2024-02-27T20:35:00,2024-02-27T20:43:00,D,HKT,PHUKET,פוקט,PHUKET,תאילנד,THAILAND,3,78-99,D,DEPARTED,המריאה
AA,9260,AMERICAN AIRLINES,2024-02-27T21:05:00,2024-02-27T20:56:00,A,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,,,LANDED,נחתה
LY,316,EL AL ISRAEL AIRLINES,2024-02-27T21:05:00,2024-02-27T20:56:00,A,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,,,LANDED,נחתה
LY,5108,EL AL ISRAEL AIRLINES,2024-02-27T20:50:00,2024-02-27T21:06:00,A,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,3,,,LANDED,נחתה
LY,974,EL AL ISRAEL AIRLINES,2024-02-27T21:25:00,2024-02-27T21:42:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,LANDED,נחתה
IZ,828,ARKIA  ISRAELI  AIRLINES,2024-02-27T21:45:00,2024-02-27T21:46:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,,,LANDED,נחתה
LY,088,EL AL ISRAEL AIRLINES,2024-02-27T22:15:00,2024-02-27T21:56:00,A,HKT,PHUKET,פוקט,PHUKET,תאילנד,THAILAND,3,,,LANDED,נחתה
IZ,552,ARKIA  ISRAELI  AIRLINES,2024-02-27T21:20:00,2024-02-27T22:00:00,A,RVN,ROVANIEMI,רובניימי,ROVANIEMI,פינלנד,FINLAND,3,,,LANDED,נחתה
6H,585,ISRAIR AIRLINES,2024-02-27T21:40:00,2024-02-27T22:00:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,34-37,B,DEPARTED,המריאה
LY,084,EL AL ISRAEL AIRLINES,2024-02-27T22:50:00,2024-02-27T22:39:00,A,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,,,LANDED,נחתה
QF,5019,QANTAS AIRWAYS,2024-02-27T22:50:00,2024-02-27T22:39:00,A,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,,,LANDED,נחתה
TG,4585,THAI AIRWAYS,2024-02-27T22:50:00,2024-02-27T22:39:00,A,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,,,LANDED,נחתה
VN,3295,VIETNAM AIRLINES,2024-02-27T22:50:00,2024-02-27T22:39:00,A,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,,,LANDED,נחתה
LY,312,EL AL ISRAEL AIRLINES,2024-02-27T21:20:00,2024-02-27T22:53:00,A,LTN,LUTON,לונדון לוטון,LONDON LUTON,בריטניה,UNITED KINGDOM,3,,,LANDED,נחתה
6H,892,ISRAIR AIRLINES,2024-02-27T22:25:00,2024-02-27T23:02:00,A,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,3,,,LANDED,נחתה
IZ,212,ARKIA  ISRAELI  AIRLINES,2024-02-27T23:25:00,2024-02-27T23:17:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,LANDED,נחתה
LY,572,EL AL ISRAEL AIRLINES,2024-02-28T00:20:00,2024-02-27T23:54:00,A,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3,,,LANDED,נחתה
LY,544,EL AL ISRAEL AIRLINES,2024-02-28T00:30:00,2024-02-27T23:59:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,LANDED,נחתה
B6,6481,JETBLUE AIRWAYS CORPORATION,2024-02-28T00:05:00,2024-02-28T00:21:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
DL,7441,DELTA AIRLINES,2024-02-28T00:05:00,2024-02-28T00:21:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
LY,025,EL AL ISRAEL AIRLINES,2024-02-28T00:05:00,2024-02-28T00:21:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
LY,5110,EL AL ISRAEL AIRLINES,2024-02-27T23:50:00,2024-02-28T00:26:00,A,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,3,,,LANDED,נחתה
6H,586,ISRAIR AIRLINES,2024-02-28T00:50:00,2024-02-28T00:37:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,LANDED,נחתה
LY,364,EL AL ISRAEL AIRLINES,2024-02-28T00:35:00,2024-02-28T00:41:00,A,VIE,VIENNA,וינה,VIENNA,אוסטריה,AUSTRIA,3,,,LANDED,נחתה
6H,728,ISRAIR AIRLINES,2024-02-28T00:30:00,2024-02-28T00:48:00,A,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,,,LANDED,נחתה
LY,356,EL AL ISRAEL AIRLINES,2024-02-28T00:35:00,2024-02-28T00:50:00,A,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,,,LANDED,נחתה
LY,388,EL AL ISRAEL AIRLINES,2024-02-28T00:55:00,2024-02-28T01:03:00,A,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,,,LANDED,נחתה
SK,3180,SAS,2024-02-28T00:55:00,2024-02-28T01:03:00,A,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,,,LANDED,נחתה
TP,8901,AIR PORTUGAL,2024-02-28T00:55:00,2024-02-28T01:03:00,A,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,,,LANDED,נחתה
AR,7851,AEROLINEAS ARGENTINAS S.A.,2024-02-28T01:00:00,2024-02-28T01:08:00,D,MIA,MIAMI INTERNATIONAL,מיאמי,MIAMI,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
B6,6467,JETBLUE AIRWAYS CORPORATION,2024-02-28T01:00:00,2024-02-28T01:08:00,D,MIA,MIAMI INTERNATIONAL,מיאמי,MIAMI,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
DL,7437,DELTA AIRLINES,2024-02-28T01:00:00,2024-02-28T01:08:00,D,MIA,MIAMI INTERNATIONAL,מיאמי,MIAMI,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
LY,017,EL AL ISRAEL AIRLINES,2024-02-28T01:00:00,2024-02-28T01:08:00,D,MIA,MIAMI INTERNATIONAL,מיאמי,MIAMI,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
AM,7869,AERO MEXICO,2024-02-28T00:45:00,2024-02-28T01:11:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
AR,7853,AEROLINEAS ARGENTINAS S.A.,2024-02-28T00:45:00,2024-02-28T01:11:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
B6,6451,JETBLUE AIRWAYS CORPORATION,2024-02-28T00:45:00,2024-02-28T01:11:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
DL,7424,DELTA AIRLINES,2024-02-28T00:45:00,2024-02-28T01:11:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
LY,001,EL AL ISRAEL AIRLINES,2024-02-28T00:45:00,2024-02-28T01:11:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
AM,7875,AERO MEXICO,2024-02-28T00:45:00,2024-02-28T01:15:00,D,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
B6,6461,JETBLUE AIRWAYS CORPORATION,2024-02-28T00:45:00,2024-02-28T01:15:00,D,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
DL,7428,DELTA AIRLINES,2024-02-28T00:45:00,2024-02-28T01:15:00,D,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
LY,005,EL AL ISRAEL AIRLINES,2024-02-28T00:45:00,2024-02-28T01:15:00,D,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
ET,404,ETHIOPIAN AIRLINES,2024-02-28T01:05:00,2024-02-28T01:21:00,A,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,,,LANDED,נחתה
LY,8804,EL AL ISRAEL AIRLINES,2024-02-28T01:05:00,2024-02-28T01:21:00,A,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,,,LANDED,נחתה
B6,6483,JETBLUE AIRWAYS CORPORATION,2024-02-28T01:00:00,2024-02-28T01:59:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
DL,7443,DELTA AIRLINES,2024-02-28T01:00:00,2024-02-28T01:59:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
LY,027,EL AL ISRAEL AIRLINES,2024-02-28T01:00:00,2024-02-28T01:59:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,78-99,D,DEPARTED,המריאה
LY,328,EL AL ISRAEL AIRLINES,2024-02-28T01:40:00,2024-02-28T02:07:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,LANDED,נחתה
SK,3162,SAS,2024-02-28T01:40:00,2024-02-28T02:07:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,LANDED,נחתה
IZ,640,ARKIA  ISRAELI  AIRLINES,2024-02-28T03:25:00,2024-02-28T02:46:00,A,CMB,COLOMBO-KATUNAYAKE,קולומבו,COLOMBO,סרילנקה,SRI LANKA,3,,,LANDED,נחתה
ET,405,ETHIOPIAN AIRLINES,2024-02-28T02:05:00,2024-02-28T02:47:00,D,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,56-62,C,DEPARTED,המריאה
LY,8807,EL AL ISRAEL AIRLINES,2024-02-28T02:05:00,2024-02-28T02:47:00,D,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,56-62,C,DEPARTED,המריאה
AM,7850,AERO MEXICO,2024-02-28T02:55:00,2024-02-28T03:01:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,,,LANDED,נחתה
LY,336,EL AL ISRAEL AIRLINES,2024-02-28T02:55:00,2024-02-28T03:01:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,,,LANDED,נחתה
SK,3152,SAS,2024-02-28T02:55:00,2024-02-28T03:01:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,,,LANDED,נחתה
LY,2524,EL AL ISRAEL AIRLINES,2024-02-28T02:45:00,2024-02-28T03:04:00,A,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,,,LANDED,נחתה
LO,151,LOT POLISH AIRLINES,2024-02-28T03:45:00,2024-02-28T03:48:00,A,WAW,WARSAW,ורשה,WARSAW,פולין,POLAND,3,,,LANDED,נחתה
LY,9256,EL AL ISRAEL AIRLINES,2024-02-28T03:45:00,2024-02-28T03:48:00,A,WAW,WARSAW,ורשה,WARSAW,פולין,POLAND,3,,,LANDED,נחתה
AM,7854,AERO MEXICO,2024-02-28T03:55:00,2024-02-28T04:16:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,LANDED,נחתה
LY,326,EL AL ISRAEL AIRLINES,2024-02-28T03:55:00,2024-02-28T04:16:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,LANDED,נחתה
SK,3158,SAS,2024-02-28T03:55:00,2024-02-28T04:16:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,LANDED,נחתה
AA,9267,AMERICAN AIRLINES,2024-02-28T05:05:00,2024-02-28T05:12:00,A,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,,,LANDED,נחתה
AM,7876,AERO MEXICO,2024-02-28T05:05:00,2024-02-28T05:12:00,A,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,,,LANDED,נחתה
LY,318,EL AL ISRAEL AIRLINES,2024-02-28T05:05:00,2024-02-28T05:12:00,A,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,,,LANDED,נחתה
SK,3174,SAS,2024-02-28T05:05:00,2024-02-28T05:12:00,A,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,,,LANDED,נחתה
LO,152,LOT POLISH AIRLINES,2024-02-28T05:20:00,2024-02-28T05:54:00,D,WAW,WARSAW,ורשה,WARSAW,פולין,POLAND,3,56-59,C,DEPARTED,המריאה
LY,9255,EL AL ISRAEL AIRLINES,2024-02-28T05:20:00,2024-02-28T05:54:00,D,WAW,WARSAW,ורשה,WARSAW,פולין,POLAND,3,56-59,C,DEPARTED,המריאה
B6,6484,JETBLUE AIRWAYS CORPORATION,2024-02-28T06:35:00,2024-02-28T06:12:00,A,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
DL,7444,DELTA AIRLINES,2024-02-28T06:35:00,2024-02-28T06:12:00,A,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
LY,028,EL AL ISRAEL AIRLINES,2024-02-28T06:35:00,2024-02-28T06:12:00,A,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
LY,357,EL AL ISRAEL AIRLINES,2024-02-28T06:00:00,2024-02-28T06:13:00,D,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,78-99,D,DEPARTED,המריאה
SK,3165,SAS,2024-02-28T06:00:00,2024-02-28T06:13:00,D,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,78-99,D,DEPARTED,המריאה
LY,2371,EL AL ISRAEL AIRLINES,2024-02-28T06:00:00,2024-02-28T06:14:00,D,BER,BERLIN BRANDENBURG INTL,ברלין,BERLIN,גרמניה,GERMANY,3,78-99,D,DEPARTED,המריאה
SK,3157,SAS,2024-02-28T06:00:00,2024-02-28T06:14:00,D,BER,BERLIN BRANDENBURG INTL,ברלין,BERLIN,גרמניה,GERMANY,3,78-99,D,DEPARTED,המריאה
LY,345,EL AL ISRAEL AIRLINES,2024-02-28T05:55:00,2024-02-28T06:18:00,D,GVA,GENEVA,ז'נבה,GENEVA,שוויץ,SWITZERLAND,3,78-99,D,DEPARTED,המריאה
AM,7864,AERO MEXICO,2024-02-28T06:05:00,2024-02-28T06:22:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,78-99,D,DEPARTED,המריאה
LY,337,EL AL ISRAEL AIRLINES,2024-02-28T06:05:00,2024-02-28T06:22:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,78-99,D,DEPARTED,המריאה
SK,3155,SAS,2024-02-28T06:05:00,2024-02-28T06:22:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,78-99,D,DEPARTED,המריאה
AR,7877,AEROLINEAS ARGENTINAS S.A.,2024-02-28T06:10:00,2024-02-28T06:27:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,78-99,D,DEPARTED,המריאה
LY,385,EL AL ISRAEL AIRLINES,2024-02-28T06:10:00,2024-02-28T06:27:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,78-99,D,DEPARTED,המריאה
SK,3167,SAS,2024-02-28T06:10:00,2024-02-28T06:27:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,78-99,D,DEPARTED,המריאה
TP,8898,AIR PORTUGAL,2024-02-28T06:10:00,2024-02-28T06:27:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,78-99,D,DEPARTED,המריאה
LY,082,EL AL ISRAEL AIRLINES,2024-02-28T06:15:00,2024-02-28T06:30:00,A,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,,,LANDED,נחתה
QF,5021,QANTAS AIRWAYS,2024-02-28T06:15:00,2024-02-28T06:30:00,A,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,,,LANDED,נחתה
TG,5483,THAI AIRWAYS,2024-02-28T06:15:00,2024-02-28T06:30:00,A,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,,,LANDED,נחתה
VN,3299,VIETNAM AIRLINES,2024-02-28T06:15:00,2024-02-28T06:30:00,A,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,,,LANDED,נחתה
AA,9262,AMERICAN AIRLINES,2024-02-28T06:00:00,2024-02-28T06:33:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,78-99,D,DEPARTED,המריאה
AM,7867,AERO MEXICO,2024-02-28T06:00:00,2024-02-28T06:33:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,78-99,D,DEPARTED,המריאה
LY,319,EL AL ISRAEL AIRLINES,2024-02-28T06:00:00,2024-02-28T06:33:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,78-99,D,DEPARTED,המריאה
SK,3161,SAS,2024-02-28T06:00:00,2024-02-28T06:33:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,78-99,D,DEPARTED,המריאה
IB,2392,IBERIA,2024-02-28T06:30:00,2024-02-28T06:42:00,D,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,78-99,D,DEPARTED,המריאה
LY,393,EL AL ISRAEL AIRLINES,2024-02-28T06:30:00,2024-02-28T06:42:00,D,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,78-99,D,DEPARTED,המריאה
AA,9265,AMERICAN AIRLINES,2024-02-28T06:15:00,2024-02-28T06:45:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,78-99,D,DEPARTED,המריאה
AM,7879,AERO MEXICO,2024-02-28T06:15:00,2024-02-28T06:45:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,78-99,D,DEPARTED,המריאה
AR,7871,AEROLINEAS ARGENTINAS S.A.,2024-02-28T06:15:00,2024-02-28T06:45:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,78-99,D,DEPARTED,המריאה
IB,2394,IBERIA,2024-02-28T06:15:00,2024-02-28T06:45:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,78-99,D,DEPARTED,המריאה
